"cov_measure","p","graph","distribution","rep","norm_Omega","norm_Sigma","FP","FN"
"cov",120,"omega_sparse","rmvnorm",1,10.0493789158077,4.25367250384583,0.224349992215476,0.0656370656370656
"cov",120,"omega_sparse","rmvnorm",2,9.83912071050999,3.79074833356175,0.236960921687685,0.0682110682110682
"cov",120,"omega_sparse","rmvnorm",3,10.0592437864485,3.49805610642298,0.22621827806321,0.0797940797940798
"cov",120,"omega_sparse","rmvnorm",4,9.9867637143961,3.84382015749365,0.219990658570761,0.0875160875160875
"cov",120,"omega_sparse","rmvnorm",5,10.4071321960149,3.69103336818668,0.223415849291608,0.0823680823680824
"cov",120,"omega_sparse","rmvnorm",6,10.2317099557728,3.53046611278952,0.20971508640822,0.1003861003861
"cov",120,"omega_sparse","rmvnorm",7,9.45277145294407,3.55236023538466,0.235248326327261,0.0656370656370656
"cov",120,"omega_sparse","rmvnorm",8,10.5480514658126,4.09011424556771,0.2427214697182,0.0875160875160875
"cov",120,"omega_sparse","rmvnorm",9,10.3592670744285,3.94278927684951,0.22995484975868,0.0836550836550837
"cov",120,"omega_sparse","rmvnorm",10,9.74561832623401,4.2339188201129,0.232445897555659,0.0978120978120978
"cov",120,"omega_sparse","rmvnorm",11,10.2212790411313,4.19400336265716,0.222170325393118,0.0797940797940798
"cov",120,"omega_sparse","rmvnorm",12,9.6586882025545,4.3580559126847,0.230110540245991,0.0849420849420849
"cov",120,"omega_sparse","rmvnorm",13,10.0693042787707,3.73950073104021,0.232290207068348,0.0888030888030888
"cov",120,"omega_sparse","rmvnorm",14,10.3493716778117,4.71638647522619,0.224817063677409,0.105534105534106
"cov",120,"omega_sparse","rmvnorm",15,10.1361062239493,4.32363879344073,0.232134516581037,0.0604890604890605
"cov",120,"omega_sparse","rmvnorm",16,10.0785249264368,3.83830679754419,0.232912969017593,0.0823680823680824
"cov",120,"omega_sparse","rmvnorm",17,9.88164608604412,3.72237503053966,0.219990658570761,0.0810810810810811
"cov",120,"omega_sparse","rmvnorm",18,9.96696874931556,3.35271298344635,0.227152420987078,0.0617760617760618
"cov",120,"omega_sparse","rmvnorm",19,9.67780826535501,4.22230539275268,0.217499610773782,0.0823680823680824
"cov",120,"omega_sparse","rmvnorm",20,9.6059172593391,3.69028840242392,0.238050755098863,0.0707850707850708
"cov",120,"omega_sparse","rmvnorm",21,9.37076754025571,3.52582132526225,0.22621827806321,0.0862290862290862
"cov",120,"omega_sparse","rmvnorm",22,9.61962186080606,3.8049467911353,0.221391872956562,0.101673101673102
"cov",120,"omega_sparse","rmvnorm",23,9.29501486086489,4.2110745356409,0.227308111474389,0.0862290862290862
